2014a
110110-数学与应用数学（金融工程）
('综合实践', '320030', '军训', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '')
('综合实践', '000030', '课外科技活动', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '')
('综合实践', '000040', '社会实践', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '')
('实践教学', '019791', '程序设计', '2.0', '', '', '', '', '', '', '', '', '2w', '', '', '', '')
('实践教学', '019801', '数学建模实验', '1.5', '', '', '', '', '', '', '', '', '', '1.5w', '', '', '')
('实践教学', '019861', '金融计算', '1.5', '', '', '', '', '', '', '', '', '', '', '1.5w', '', '')
('实践教学', '019891', '数学实验', '2.0', '', '', '', '', '', '', '', '2W', '', '', '', '', '')
('实践教学', '019960', '认识实习', '2.0', '', '', '', '', '', '', '', '', '', '', '', '2w', '')
('实践教学', '019933', '毕业实习', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '2W')
('实践教学', '019992', '毕业论文', '15.0', '', '', '', '', '', '', '', '', '', '', '', '', '15W')
